xpathparser:0,xpathparser:1,xpathparser:2,xpathparser:4,xpathparser:5,xpathparser:6,xpathparser:7,xpathparser:8,xpathparser:9
85,SSP,hawker_fixpitch,Fuk Wing Street,N/A,N/A,N/A,N/A,"22.331752,114.163046",0
86,SSP,hawker_fixpitch,Fat Tseung Street,N/A,N/A,N/A,N/A,"22.338112,114.157373",0
87,SSP,hawker_fixpitch,Cheung Fat Street,N/A,N/A,N/A,N/A,"22.339378,114.156986",0
88,S,hawker_bazaars,"Stanley Market Road, Stanley, HK",N/A,N/A,N/A,N/A,"22.218731,114.212353",0
89,KT,hawker_bazaars,"3 Lai Yip Street, Kwun Tong, Kowloon",N/A,N/A,N/A,N/A,"22.313797,114.216697",0
90,KT,hawker_bazaars,"38 Tung Yan Street, Kwun Tong",N/A,N/A,N/A,N/A,"22.313471,114.225996",0
91,YT,hawker_bazaars,"Kansu Street, Yau Ma Tei, Kowloon",N/A,N/A,N/A,N/A,"22.309069,114.169061",0
92,YT,hawker_bazaars,"Kansu Street, Yau Ma Tei, Kowloon",N/A,N/A,N/A,N/A,"22.309142,114.169489",0
93,YT,hawker_bazaars,"30 Haiphong Road, Tsim Sha Tsui, Kowloon",N/A,N/A,N/A,N/A,"22.297628,114.170014",0
94,YT,hawker_bazaars,"Reclamation Street, Yau Ma Tei, Kowloon",N/A,N/A,N/A,N/A,"22.307272,114.169119",0
95,YT,hawker_bazaars,"29-39 Woosung Street, Yau Ma Tei, Kowloon",N/A,N/A,N/A,N/A,"22.307714,114.170528",0
96,SSP,hawker_bazaars,"373 Lai Chi Kok Road, Kowloon",N/A,N/A,N/A,N/A,"22.329839,114.1585",0
97,YL,hawker_bazaars,"Kam Tin Main Road, Kam Tin",N/A,N/A,N/A,N/A,"22.440325,114.065178",0
98,TW,hawker_bazaars,"Hau Tei Square, Tsuen Wan, NT",N/A,N/A,N/A,N/A,"22.371025,114.115897",0
99,TW,hawker_bazaars,"Luen Yan Street, Tsuen Wan, NT",N/A,N/A,N/A,N/A,"22.36745,114.117783",0
100,TM,hawker_bazaars,"62 Lam Tei Main Street, Tuen Mun, NT",N/A,N/A,N/A,N/A,"22.418785,113.984037",0
101,KwT,hawker_bazaars,"28 Kwai Wing Road, Kwai Chung, NT",N/A,N/A,N/A,N/A,"22.366758,114.13425",0
102,Is,toilet,"Mui Wo Ferry Pier Road, Lantau",N/A,N/A,N/A,N/A,"22.265681,114.000836",0
103,CW,refuse,At side of Lan Kwai Fong Sitting-out Area,N/A,N/A,N/A,24 hours,"22.280871,114.155687",0
104,CW,refuse,Junction of Man Kat Street andamp; Connaught Rd. Central,N/A,N/A,N/A,6:30 am - 11:00 pm,"22.286978,114.154244",0
105,CW,refuse,38-42 Gage Street,N/A,N/A,N/A,24 hours,"22.283611,114.153033",0
106,CW,refuse,Junction of Robinson Road andamp; Castle Road,N/A,N/A,N/A,6:30 am - 11:00 pm,"22.281992,114.147717",0
107,CW,refuse,Junction of Arbuthnot Road andamp; Caine Road,N/A,N/A,N/A,6:30 am - 3:30 pm,"22.279303,114.154469",0
108,CW,refuse,Junction of Kennedy Rd. andamp; Underneath of Cotton Tree Drive flyover,N/A,N/A,N/A,7:00 am - 11:00 pm,"22.276775,114.1571",0
109,CW,refuse,Queensway Plaza,N/A,N/A,N/A,7:00 am - 11:00 pm,"22.278553,114.164503",0
110,CW,refuse,"Peak Galleria, Bus Terminus",N/A,N/A,N/A,8:00 am - 2:00 pm,"22.270072,114.150444",0
111,CW,refuse,"G/F, No. 21-23 Lok Ku Road, Sheung Wan",N/A,N/A,N/A,7:00 am - 11:30 pm,"22.285642,114.149228",0
112,CW,refuse,"No.8 in Ku Lane, Sheung Wan",N/A,N/A,N/A,6:30 am - 11:30 pm,"22.286581,114.145931",0
113,CW,refuse,"Junction of Centre Street andamp; First Street, Sheung Wan",N/A,N/A,N/A,6:30 am - 11:30 pm,"22.286325,114.142047",0
114,CW,refuse,"Junction of Third Street andamp; Eastern Street, Sheung Wan",N/A,N/A,N/A,7:00 am - 11:30 pm,"22.28592,114.143486",0
115,CW,refuse,"Basement Smithfield Municipal Services Building,\n12K Smithfield Road, Kennedy Town",N/A,N/A,N/A,6:30 am - 11:30 pm,"22.28193,114.12857",0
116,CW,refuse,"No. 43-47 Centre Street, Sai Ying Pun",N/A,N/A,N/A,7:00 am - 11:30 pm,"22.285911,114.142436",0
117,Wch,refuse,Junction of Paterson Street andamp; Gloucester Road,N/A,N/A,N/A,6:30 am - 3:30 pm,"22.282717,114.184831",0
118,CW,refuse,"G/F, Sheung Wan Municipal Services Building, 345, Queenand#039;s Road Central, Sheung Wan",N/A,N/A,N/A,7:00 am - 11:30 pm,"22.286164,114.149742",0
119,Wch,refuse,Opposite to 250 Gloucester Road,N/A,N/A,N/A,6:30 am - 11:30 pm,"22.280975,114.180989",0
120,CW,refuse,"Shek Tong Tsui Municipal Services Building, No. 470 Queenand#039;s Road West, Sai Wan",N/A,N/A,N/A,6:30 am - 11:30 pm,"22.285583,114.136108",0
121,Wch,refuse,224 Lockhart Road,N/A,N/A,N/A,6:30 am - 3:30 pm,"22.278147,114.175447",0
122,Wch,refuse,Junction of Luard Road andamp; Johnston Road,N/A,N/A,N/A,6:30 am - 11:30 pm,"22.276819,114.171633",0
123,Wch,refuse,Junction of Star Street and Sun Street,N/A,N/A,N/A,6:30 am - 3:00 pm,"22.276269,114.168297",0
124,Wch,refuse,Opposite to 7 Shiu Fai Terrace,N/A,N/A,N/A,6:30 am - 3:00 pm,"22.272694,114.1754",0
125,Wch,refuse,Junction of Cross Lane andamp; Bullock Lane,N/A,N/A,N/A,6:30 am - 11:30 pm,"22.276333,114.176058",0
126,Wch,refuse,Junction of Sing Woo Road andamp; Yik Yam Street,N/A,N/A,N/A,6:30 am - 11:30 pm,"22.269342,114.185169",0
127,Wch,refuse,No. 15 Wing Hing Street,N/A,N/A,N/A,7:00 am - 11:30 pm,"22.285461,114.191992",0
128,E,refuse,No. 3 Oil Street,N/A,N/A,N/A,7:00 am - 11:30 pm,"22.288144,114.192914",0
129,E,refuse,No. 99 Java Road (G/F of Java Road Market),N/A,N/A,N/A,7:00 am - 00:00 am,"22.292306,114.199358",0
130,E,refuse,No. 63 Tanner Road,N/A,N/A,N/A,7:00 am - 11:00 pm,"22.29115,114.203008",0
131,E,refuse,Marble Road opposite to Kingand#039;s Road Playground,N/A,N/A,N/A,7:00 am - 11:00 pm,"22.292650,114.203736",0
132,E,refuse,No. 41 Mansion Street,N/A,N/A,N/A,7:00 am - 11:00 pm,"22.289894,114.208617",0
133,E,refuse,No. 38 Quarry Bay Street,N/A,N/A,N/A,7:00 am - 11:00 pm,"22.283708,114.211883",0
134,E,refuse,Junction of Hing Man Street andamp; Oi Yee Street,N/A,N/A,N/A,7:00 am - 00:00 am,"22.281772,114.223275",0
135,E,refuse,No. 2A Sai Wan Ho Street,N/A,N/A,N/A,7:00 am - 00:00 am,"22.279819,114.225147",0
